"STATION","NAME","DATE","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00190120","AMHERST, MA US","2000-08-04",,"1.34","0.0","0.0","83","65","66"
"USC00190120","AMHERST, MA US","2000-08-05",,"0.00","0.0","0.0","81","53","62"
"USC00190120","AMHERST, MA US","2000-08-06",,"0.00","0.0","0.0","81","54","57"
"USC00190120","AMHERST, MA US","2000-08-07",,"0.30","0.0","0.0","78","55","72"
"USC00190120","AMHERST, MA US","2000-08-08",,"0.00","0.0","0.0","88","66","71"
"USC00190120","AMHERST, MA US","2000-08-09",,"0.00","0.0","0.0","86","64","67"
"USC00190120","AMHERST, MA US","2000-08-10",,"0.09","0.0","0.0","88","64","67"
"USC00190120","AMHERST, MA US","2000-08-11",,"0.00","0.0","0.0","85","58","63"
"USC00190120","AMHERST, MA US","2000-08-12",,"2.41","0.0","0.0","84","62","65"
"USC00190120","AMHERST, MA US","2000-08-13",,"0.04","0.0","0.0","75","60","64"
"USC00190120","AMHERST, MA US","2000-08-14",,"0.12","0.0","0.0","73","57","63"
"USC00190120","AMHERST, MA US","2000-08-15",,"0.11","0.0","0.0","67","62","65"
"USC00190120","AMHERST, MA US","2000-08-16",,"0.35","0.0","0.0","80","64","67"
"USC00190120","AMHERST, MA US","2000-08-17",,"0.06","0.0","0.0","79","54","60"
"USC00190120","AMHERST, MA US","2000-08-18",,"0.00","0.0","0.0","71","47","52"
"USC00190120","AMHERST, MA US","2000-08-19",,"0.07","0.0","0.0","70","51","62"
"USC00190120","AMHERST, MA US","2000-08-20",,"0.00","0.0","0.0","75","47","51"
"USC00190120","AMHERST, MA US","2000-08-21",,"0.00","0.0","0.0","70","43","48"
"USC00190120","AMHERST, MA US","2000-08-22",,"0.00","0.0","0.0","76","46","50"
"USC00190120","AMHERST, MA US","2000-08-23",,"0.00","0.0","0.0","77","50","57"
"USC00190120","AMHERST, MA US","2000-08-24",,"0.32","0.0","0.0","72","51","62"
"USC00190120","AMHERST, MA US","2000-08-25",,"0.00","0.0","0.0","80","53","55"
"USC00190120","AMHERST, MA US","2000-08-26",,"0.00","0.0","0.0","82","54","58"
"USC00190120","AMHERST, MA US","2000-08-27",,"0.00","0.0","0.0","83","55","57"
"USC00190120","AMHERST, MA US","2000-08-28",,"0.00","0.0","0.0","84","56","65"
"USC00190120","AMHERST, MA US","2000-08-29",,"0.00","0.0","0.0","80","60","62"
"USC00190120","AMHERST, MA US","2000-08-30",,"0.00","0.0","0.0","79","53","57"
"USC00190120","AMHERST, MA US","2000-08-31",,"0.00","0.0","0.0","81","56","67"
"USC00190120","AMHERST, MA US","2000-09-01",,"0.00","0.0","0.0","85","66","70"
"USC00190120","AMHERST, MA US","2000-09-02",,"0.61","0.0","0.0","87","69","72"
"USC00190120","AMHERST, MA US","2000-09-03",,"0.10","0.0","0.0","82","64","65"
"USC00190120","AMHERST, MA US","2000-09-04",,"0.09","0.0","0.0","84","65","71"
"USC00190120","AMHERST, MA US","2000-09-05",,"0.00","0.0","0.0","83","44","49"
"USC00190120","AMHERST, MA US","2000-09-06",,"0.00","0.0","0.0","66","41","44"
"USC00190120","AMHERST, MA US","2000-09-07",,"0.00","0.0","0.0","68","42","44"
"USC00190120","AMHERST, MA US","2000-09-08",,"0.00","0.0","0.0","74","42","53"
"USC00190120","AMHERST, MA US","2000-09-09",,"0.00","0.0","0.0","77","53","63"
"USC00190120","AMHERST, MA US","2000-09-10",,"0.02","0.0","0.0","79","53","55"
"USC00190120","AMHERST, MA US","2000-09-11",,"0.00","0.0","0.0","80","54","62"
"USC00190120","AMHERST, MA US","2000-09-12",,"0.00","0.0","0.0","78","61","67"
"USC00190120","AMHERST, MA US","2000-09-13",,"2.16","0.0","0.0","78","66","67"
"USC00190120","AMHERST, MA US","2000-09-14",,"0.00","0.0","0.0","78","50","51"
"USC00190120","AMHERST, MA US","2000-09-15",,"0.28","0.0","0.0","79","46","64"
"USC00190120","AMHERST, MA US","2000-09-16",,"0.68","0.0","0.0","69","46","55"
"USC00190120","AMHERST, MA US","2000-09-17",,"0.00","0.0","0.0","66","42","46"
"USC00190120","AMHERST, MA US","2000-09-18",,"0.00","0.0","0.0","70","43","53"
"USC00190120","AMHERST, MA US","2000-09-19",,"0.00","0.0","0.0","79","52","56"
"USC00190120","AMHERST, MA US","2000-09-20",,"1.00","0.0","0.0","78","55","66"
"USC00190120","AMHERST, MA US","2000-09-21",,"0.00","0.0","0.0","83","62","67"
"USC00190120","AMHERST, MA US","2000-09-22",,"0.00","0.0","0.0","72","44","47"
"USC00190120","AMHERST, MA US","2000-09-23",,"0.00","0.0","0.0","69","45","50"
